"","mean_price.Group.2","mean_price.x.Rice","mean_price.x.Onion","mean_price..x.Tea.Loose.","mean_price..x.Tur.Arhar.Dal.","year","index"
"202","11-2010",19.5449438202247,25.5944380069525,176.344910179641,61.3220930232558,"2010",14
"221","12-2010",19.6568848758465,37.6777202072539,178.774193548387,60.0310880829016,"2010",14
"15","01-2011",19.906798245614,43.7271634615385,177.091470951792,60.1747211895911,"2011",15
"34","02-2011",19.9457259158752,22.2938388625592,175.432727272727,64.3751552795031,"2011",15
"53","03-2011",19.9063829787234,14.541935483871,172.710321864595,63.9544419134396,"2011",15
"72","04-2011",19.9825581395349,12.0858257477243,176.334688346883,63.4258503401361,"2011",15
"91","05-2011",19.9019138755981,11.767491926803,177.939091915836,62.7422907488987,"2011",15
"109","06-2011",20.0281531531532,12.3062248995984,178.08125,61.7402464065708,"2011",15
"127","07-2011",20.0411700975081,13.8968609865471,178.201405152225,60.6632653061224,"2011",15
"146","08-2011",20.1990111248455,15.743888242142,179.273053892216,60.3238095238095,"2011",15
"165","09-2011",20.1871768355739,18.080612244898,182.958246346555,60.8079331941545,"2011",15
"184","10-2011",20.3245033112583,18.92,184.840740740741,62.2158671586716,"2011",15
"203","11-2011",20.4002433090024,17.9957386363636,184.071014492754,62.364161849711,"2011",15
"222","12-2011",20.4016686531585,14.9145607701564,186.304819277108,62.0279805352798,"2011",15
"16","01-2012",21.1037613488975,12.702479338843,183.880487804878,61.355106888361,"2012",16
"35","02-2012",20.9842615012107,11.7832929782082,183.752246469833,61.1463414634146,"2012",16
"54","03-2012",21.3488612836439,11.4196642685851,181.482164821648,60.8247298919568,"2012",16
"73","04-2012",21.51617076326,11.7592847317744,183.577247191011,60.5883977900552,"2012",16
"92","05-2012",21.8673355629877,11.8248648648649,185.533701657459,61.7366120218579,"2012",16
"110","06-2012",22.0577971646674,12.2387022016222,186.053738317757,63.0783625730994,"2012",16
"128","07-2012",22.679781420765,13.7320328542094,188.278897136797,65.6323377960865,"2012",16
"147","08-2012",22.9001218026797,14.462441314554,192.72426035503,69.9929328621908,"2012",16
"166","09-2012",22.8304297328688,14.8037037037037,195.134495641345,71.1455223880597,"2012",16
"185","10-2012",23.4067164179104,15.3590333716916,200.915492957746,70.0909090909091,"2012",16
"204","11-2012",23.5330296127563,19.3657718120805,197.925,69.453196347032,"2012",16
"223","12-2012",23.5640176600442,20.6946902654867,200.591061452514,69.0180383314543,"2012",16
"17","01-2013",25.2223451327434,21.1266519823789,201.93453724605,67.9811738648948,"2013",17
"36","02-2013",25.5704545454545,25.5505494505495,198.974244120941,67.1666666666667,"2013",17
"55","03-2013",25.5398428731762,21.623006833713,194.995444191344,67.0697674418605,"2013",17
"74","04-2013",25.5397727272727,20.2002164502165,197.027292576419,68.2792494481236,"2013",17
"93","05-2013",25.885231316726,19.1017576318224,200.372993389991,68.8864711447493,"2013",17
"111","06-2013",25.9521871820956,21.9849094567404,200.943204868154,69.0377936670072,"2013",17
"129","07-2013",26.277027027027,28.9098786828423,202.855777584709,68.780035335689,"2013",17
"148","08-2013",26.2154639175258,44.8761574074074,203.336437718277,68.4042806183115,"2013",17
"167","09-2013",26.7404844290657,55.0327349524815,205.120634920635,69.0669546436285,"2013",17
"186","10-2013",26.6378035902851,57.2141304347826,204.84940411701,69.5293466223699,"2013",17
"205","11-2013",26.7903846153846,53.9389233954451,203.473140495868,70.1808622502629,"2013",17
"224","12-2013",26.8643564356436,33.2173469387755,203.062308478039,70.4118257261411,"2013",17
"18","01-2014",27.3426724137931,22.4492900608519,204.048403707518,70.0155279503106,"2014",18
"37","02-2014",27.7239527389903,18.4569327731092,203.024390243902,69.95,"2014",18
"56","03-2014",27.5956644674835,17.2180527383367,200.997896950578,70.1412371134021,"2014",18
"75","04-2014",27.7735644637053,17.4256837098692,207.287469287469,70.2478839177751,"2014",18
"94","05-2014",27.8371040723982,18.6889763779528,203.9263370333,70.4065934065934,"2014",18
"112","06-2014",27.8264192139738,20.8225068618481,205.714808043876,69.9310986964618,"2014",18
"130","07-2014",28.1208295761948,28.2173913043478,204.244367417678,70.3505598621878,"2014",18
"149","08-2014",28.3435114503817,28.452380952381,205.092402464066,71.6764112903226,"2014",18
"168","09-2014",28.47591522158,26.8571428571429,212.26264418811,73.9298701298701,"2014",18
"187","10-2014",28.2607594936709,25.6872852233677,211.402860548272,74.1129220023283,"2014",18
"206","11-2014",27.9470085470085,25.6298828125,205.088957055215,75.0984095427435,"2014",18
"225","12-2014",27.8496849684968,25.3301587301587,204.677868852459,75.6519647153168,"2014",18
"19","01-2015",27.6279949558638,24.7643932683791,205.024861878453,77.1253357206804,"2015",19
"38","02-2015",27.5716064757161,24.937339055794,205.24686940966,78.9956293706294,"2015",19
"57","03-2015",27.4209944751381,24.1369649805447,205.225296442688,81.7494108405342,"2015",19
"76","04-2015",27.6506935687264,22.0565338276182,205.789375582479,85.0393996247655,"2015",19
"95","05-2015",27.958904109589,NA,NA,NA,"2015",19
"113","06-2015",27.5698924731183,NA,NA,NA,"2015",19
"131","07-2015",27.4390243902439,NA,NA,NA,"2015",19
"150","08-2015",27.4765625,NA,NA,NA,"2015",19
"169","09-2015",27.6393442622951,NA,NA,NA,"2015",19
"188","10-2015",27.5282051282051,NA,NA,NA,"2015",19
"207","11-2015",27.4094488188976,NA,NA,NA,"2015",19
"226","12-2015",27.4945652173913,NA,NA,NA,"2015",19
